serial,English,Physics,Chemistry,Mathematics,ComputerScience,Biology,PhysicalEducation,Economics,Accountancy,BusinessStudies
195490,4,8,7,6,0,0,3,0,0,0
190869,3,1,1,3,0,0,1,0,0,0
3111,1,1,2,2,0,0,2,0,0,0
47738,7,8,7,7,0,0,6,0,0,0
85520,3,1,1,2,0,0,1,0,0,0
182318,4,2,1,8,0,2,0,0,0,0
77482,5,3,4,8,0,0,5,0,0,0
152940,6,0,0,7,0,0,0,3,2,5
132620,3,5,6,8,0,7,0,0,0,0
179461,3,0,0,2,0,0,0,1,2,1
13372,2,1,2,3,0,1,0,0,0,0
16669,3,5,3,4,0,4,0,0,0,0
109769,3,4,4,6,0,0,1,0,0,0
146933,3,2,5,4,0,0,8,0,0,0
216414,1,2,2,3,0,1,0,0,0,0
164385,5,5,6,5,0,0,7,0,0,0
71655,4,0,0,2,0,0,0,2,1,3
99907,3,5,6,7,5,0,0,0,0,0
52690,5,1,1,2,0,0,2,0,0,0
86118,5,8,8,7,0,0,8,0,0,0
87626,2,6,6,7,0,5,0,0,0,0
186591,5,2,2,2,0,0,1,0,0,0
104728,3,0,0,1,0,0,0,2,1,1
71617,1,1,1,1,1,0,0,0,0,0
156196,1,4,4,7,3,0,0,0,0,0
116335,3,7,4,8,0,0,4,0,0,0
20135,2,5,4,2,4,0,0,0,0,0
47641,2,8,8,6,5,0,0,0,0,0
118085,4,3,1,1,0,0,4,0,0,0
138381,4,0,0,8,0,0,0,6,4,3
94237,3,3,6,5,2,0,0,0,0,0
17424,2,3,3,2,3,0,0,0,0,0
196224,6,4,6,4,0,0,4,0,0,0
64677,4,7,6,5,0,0,3,0,0,0
211573,1,1,2,1,0,0,2,0,0,0
25976,5,5,5,3,7,0,0,0,0,0
8967,4,0,0,5,0,0,0,1,5,5
1435,6,8,8,8,0,0,5,0,0,0
10854,1,0,0,3,0,0,0,1,1,1
3883,4,0,8,8,7,0,7,0,0,0
202575,5,4,6,2,0,0,3,0,0,0
102446,3,5,6,8,0,4,0,0,0,0
63238,1,1,1,3,0,1,0,0,0,0
129331,1,2,1,3,0,2,0,0,0,0
178818,4,0,0,8,0,0,0,5,6,5
22989,2,0,0,2,0,0,0,2,1,2
180232,5,7,7,8,8,0,0,0,0,0
26601,2,2,4,1,0,2,0,0,0,0
94163,4,3,3,5,0,0,5,0,0,0
24769,2,0,0,1,0,0,0,1,1,1
70655,5,5,2,4,0,0,1,0,0,0
49882,2,3,3,3,4,0,0,0,0,0
117589,7,5,4,3,0,6,0,0,0,0
102478,2,2,2,3,0,0,2,0,0,0
13733,5,0,0,6,0,0,0,3,2,4
188401,6,7,5,5,0,0,4,0,0,0
86976,5,0,0,7,0,0,0,5,4,5
32337,1,0,0,1,0,0,0,1,1,1
195234,1,2,1,1,2,0,0,0,0,0
40206,5,2,2,4,0,4,0,0,0,0
196798,3,4,1,2,0,0,1,0,0,0
190700,1,1,1,1,0,0,1,0,0,0
66870,1,0,0,1,0,0,0,1,1,1
80748,1,2,1,1,0,0,1,0,0,0
69650,4,5,4,3,0,0,1,0,0,0
212719,1,6,5,4,4,0,0,0,0,0
211127,5,4,6,6,0,0,4,0,0,0
28182,6,6,6,7,0,0,5,0,0,0
195276,1,4,2,1,3,0,0,0,0,0
171804,4,0,0,3,0,0,0,2,2,4
160927,5,0,0,8,0,0,0,6,7,8
199327,5,0,0,2,0,0,0,2,1,3
105621,3,7,6,5,4,0,0,0,0,0
88457,5,2,1,2,0,2,0,0,0,0
200083,1,2,3,4,0,3,0,0,0,0
213301,4,5,4,2,0,0,2,0,0,0
90253,1,0,0,4,0,0,0,1,1,3
83090,2,4,4,3,0,0,1,0,0,0
125406,1,2,1,2,0,0,1,0,0,0
222070,3,6,7,7,0,6,0,0,0,0
114437,4,3,7,7,0,0,2,0,0,0
220678,3,8,5,7,0,0,4,0,0,0
24358,3,8,6,4,0,0,3,0,0,0
130307,2,5,7,7,6,0,0,0,0,0
26138,6,7,7,8,0,0,8,0,0,0
8510,1,5,6,5,0,4,0,0,0,0
108276,2,6,6,5,4,0,0,0,0,0
44325,3,2,2,3,0,0,3,0,0,0
5039,1,0,0,4,0,0,0,3,3,6
45046,3,7,8,5,0,0,2,0,0,0
157884,4,3,4,3,1,0,0,0,0,0
219233,4,3,3,1,0,0,4,0,0,0
154617,2,5,4,3,0,0,1,0,0,0
100027,2,2,2,4,4,0,0,0,0,0
60178,2,1,1,2,2,0,0,0,0,0
168201,1,5,4,5,0,3,0,0,0,0
216145,2,3,3,6,0,0,2,0,0,0
161511,2,5,6,6,0,0,1,0,0,0
68197,4,6,6,5,0,0,3,0,0,0
195158,1,4,3,5,0,0,3,0,0,0
174859,4,0,0,5,0,0,0,4,3,5
93499,5,0,0,3,0,0,0,1,1,4
76025,1,3,4,6,0,1,0,0,0,0
130131,4,8,4,8,0,0,3,0,0,0
109347,4,5,7,3,6,0,0,0,0,0
70697,1,3,5,4,0,3,0,0,0,0
151633,6,8,8,6,8,0,0,0,0,0
1608,2,4,4,6,0,4,0,0,0,0
173547,1,1,2,1,0,0,1,0,0,0
49442,2,1,1,1,0,0,6,0,0,0
148551,4,2,1,2,0,0,1,0,0,0
134730,5,5,7,4,0,0,6,0,0,0
38405,2,1,2,2,1,0,0,0,0,0
97232,4,0,0,3,0,0,0,2,2,1
103792,4,0,0,3,0,0,0,2,1,3
205873,2,0,0,2,0,0,3,0,1,1
122028,2,5,6,8,0,0,2,0,0,0
168363,5,7,7,8,0,0,5,0,0,0
156228,1,2,3,2,0,0,1,0,0,0
29946,3,8,7,8,0,0,5,0,0,0
157904,4,4,5,8,0,0,2,0,0,0
170231,2,1,1,1,1,0,0,0,0,0
74656,2,1,2,2,0,0,1,0,0,0
56098,2,2,3,3,0,3,0,0,0,0
70608,1,2,3,1,0,2,0,0,0,0
213071,7,2,3,6,0,0,5,0,0,0
159677,1,2,1,2,3,0,0,0,0,0
62740,3,4,3,2,0,0,4,0,0,0
123469,7,0,0,8,0,0,8,8,7,0
169570,1,1,1,1,0,0,2,0,0,0
18575,6,2,1,1,0,0,4,0,0,0
168284,1,6,3,2,0,0,3,0,0,0
192116,1,3,3,5,0,0,6,0,0,0
170007,2,4,3,3,0,0,2,0,0,0
167287,1,2,1,3,0,2,0,0,0,0
131580,4,8,8,6,5,0,0,0,0,0
7917,4,7,8,8,0,0,4,0,0,0
152534,3,3,5,2,0,0,6,0,0,0
140880,3,5,6,6,0,0,8,0,0,0
68101,2,4,6,5,7,0,0,0,0,0
26116,3,1,1,1,0,0,4,0,0,0
42824,5,6,3,5,0,0,2,0,0,0
189014,1,1,2,1,0,1,0,0,0,0
146153,2,4,2,4,0,4,0,0,0,0
8418,1,2,1,3,1,0,0,0,0,0
79932,3,2,2,3,0,0,3,0,0,0
222464,1,2,3,2,0,0,3,0,0,0
213797,3,7,8,6,0,8,0,0,0,0
169323,6,5,7,5,0,0,4,0,0,0
91220,3,4,4,5,0,0,5,0,0,0
125795,2,2,2,2,0,0,5,0,0,0
19187,5,5,6,8,0,0,4,0,0,0
134328,2,0,0,3,0,0,0,1,1,1
8446,7,0,0,6,0,0,0,4,5,8
37098,4,4,4,4,4,0,0,0,0,0
46545,4,7,6,6,0,0,4,0,0,0
123115,5,6,7,4,0,0,5,0,0,0
87302,8,6,7,7,0,0,7,0,0,0
193490,1,3,5,3,0,0,1,0,0,0
172860,1,0,0,2,0,0,0,1,1,1
23680,4,4,5,7,7,0,0,0,0,0
